rho_pol, ne, Te, Ti, dn_dR, dTe_dR, dTi_dR, D, chi_e, chi_i, Gamma, Qe, Qi
9.230410806651562217e-01,1.829815360913304576e+19,3.012752326027704157e+02,3.168204958551170876e+02,-2.152451437935108424e+20,-7.846082952076736547e+03,-3.262464755867564691e+03,-8.934836415052598291e-01,4.089171974522232134e-02,1.863253480638067672e-01,-1.923180148929493402e+20,-1.298264093726445208e+04,-1.285963108173928413e+04
9.242849993544645093e-01,1.811453094431545754e+19,2.945818474018374218e+02,3.140373321479694937e+02,-2.155710211588691722e+20,-7.774438914893134097e+03,-3.257573642430107157e+03,-9.071232797916789492e-01,4.497367864244744551e-02,1.781570954457489253e-01,-1.955494917416748319e+20,-1.282790902854149499e+04,-1.307261067032507708e+04
9.255289180437729080e-01,1.792980003788142387e+19,2.879907831281447557e+02,3.112541684408216724e+02,-2.159503694921788948e+20,-7.585644340525399457e+03,-3.192261863963413816e+03,-9.320321953744905574e-01,4.905563753967294438e-02,1.701503960389755821e-01,-2.012726969697279017e+20,-1.286005660199821250e+04,-1.349390486014169437e+04
9.267728367330811956e-01,1.774497429342281114e+19,2.816005067172184226e+02,3.085744028369762759e+02,-2.134849705489673421e+20,-7.350415698619907744e+03,-2.866351828334617949e+03,-9.512749441566883402e-01,5.209227311469384614e-02,1.624121956211307394e-01,-2.030829034372611768e+20,-1.265384949463331941e+04,-1.373529998403658465e+04
9.280167554223895943e-01,1.756391224151145882e+19,2.753930466436724487e+02,3.063415830190305655e+02,-2.107102909517870531e+20,-7.071026957084938658e+03,-2.747503217451391265e+03,-9.576950040044077683e-01,5.362317695905226278e-02,1.597192179302281967e-01,-2.017961929368416420e+20,-1.228736845558622736e+04,-1.362025087417913892e+04
9.292606741116978819e-01,1.738329728835633766e+19,2.694633308772023383e+02,3.038584075687352311e+02,-2.089029428333831782e+20,-6.822035063553448708e+03,-2.958184595406929475e+03,-9.479265683380463381e-01,5.515408080341054065e-02,1.674522318866669968e-01,-1.980246497157680005e+20,-1.177468072846843461e+04,-1.307973495070720310e+04
9.305045928010062806e-01,1.720479584935125402e+19,2.636655688686573740e+02,3.012562904671983119e+02,-2.073597853486001357e+20,-6.685564428417691488e+03,-3.022801645936595833e+03,-9.369602487306515348e-01,5.668498464776894341e-02,1.760517677886490051e-01,-1.942878760569588941e+20,-1.126533037834263632e+04,-1.259809569842651035e+04
9.317485114903145682e-01,1.702629441034618061e+19,2.579530675054740527e+02,2.986541733656615634e+02,-2.070460881037470925e+20,-6.616048648989840331e+03,-3.018228702602861176e+03,-9.247986457492397561e-01,5.675159235668725266e-02,1.869337831840811037e-01,-1.914759418860231066e+20,-1.084471096775535443e+04,-1.220263372235008865e+04
9.329924301796229669e-01,1.684779297134108672e+19,2.522577300131793834e+02,2.960520562641247011e+02,-2.052982156431721431e+20,-6.464378979270985838e+03,-2.930268714583786732e+03,-8.960853333361229467e-01,5.675159235668725266e-02,1.959151828595374067e-01,-1.839647199979231642e+20,-1.016131597035222330e+04,-1.153802850840115934e+04
9.342363488689312545e-01,1.667176818670766080e+19,2.467898342522804569e+02,2.935939389239111392e+02,-2.020256071756466749e+20,-6.312945582015437139e+03,-2.753656218732239267e+03,-8.528989740345567228e-01,5.588671248656008894e-02,2.010711014487484016e-01,-1.723074330888174305e+20,-9.276160164472736142e+03,-1.067761689971756823e+04
